component_type,name,file_path,device_scope,public_pipeline,has_tests,references_in_findings,detection_depth,status_notes
parser,CiscoIOSParser,src/devices/cisco/ios.py,"IOS switch/router/Catalyst aliases",yes,yes,n/a,n/a,"Target parser; effective HTTP/SSH, management-line, interface, crypto, version, and normalized-state coverage"
parser,CiscoIOSXEParser,src/devices/cisco/iosxe.py,Cisco IOS-XE,yes,yes,n/a,n/a,"Target parser; composes IOS model and IOS-XE-specific crypto/MACsec behavior"
parser,CiscoASAParser,src/devices/cisco/asa.py,"Cisco ASA; PIX registry alias",yes,yes,n/a,n/a,"Target ASA syntax verified; legacy PIX syntax remains partial"
parser,FortiOSParser,src/devices/fortinet/fortios.py,FortiGate/FortiOS,yes,yes,n/a,n/a,"Target grammar-aware parser with global/VDOM scope and parse diagnostics"
parser,CheckPointFW1Parser,src/devices/checkpoint/fw1.py,Check Point Firewall-1 export directory,yes,yes,n/a,n/a,"Target offline export parser for typed layers/rules/objects/services"
parser,JunOSParser,src/devices/juniper/junos.py,Juniper Junos,yes,yes,n/a,n/a,"Target parser for display-set and hierarchy syntax"
parser,JuniperScreenOSParser,src/devices/juniper/screenos.py,Juniper ScreenOS,yes,yes,n/a,n/a,"Target parser with effective set/unset and policy continuation handling"
parser,PaloAltoPANOSParser,src/devices/paloalto/panos.py,Palo Alto PAN-OS,yes,yes,n/a,n/a,"Registered basic parser; T-010 remains open"
parser,HPProCurveParser,src/devices/hp/procurve.py,HP ProCurve/ArubaOS-Switch,yes,yes,n/a,n/a,"Registered basic parser; T-011 remains open"
parser,SonicOSParser,src/devices/sonicwall/sonicos.py,SonicWall SonicOS,yes,yes,n/a,n/a,"Registered basic parser; supported export dialect is not yet explicit (T-007)"
parser,AristaEOSParser,src/devices/arista/eos.py,Arista EOS,yes,yes,n/a,n/a,"Registered basic parser; T-027 remains open"
plugin,PluginHTTP,src/analyze/cisco/ios/plugins/http_plugin.py,Cisco IOS family,yes,yes,no,"2 logic / citation gap","Effective-state and syntax-variant tests pass; source is tracked in task/audit docs but not serialized on findings"
plugin,PluginSSH,src/analyze/cisco/ios/plugins/ssh_plugin.py,Cisco IOS family,yes,yes,no,"2 logic / citation gap","Typed defaults/parse errors and per-VTY scope verified; references are not serialized"
plugin,PluginIOSBaseline,src/analyze/cisco/ios/plugins/baseline_plugin.py,Cisco IOS family,yes,yes,yes,"2; selected rules 3","Version-gated target baseline with positive/negative and edge-case tests"
plugin,PluginIOSXEChecks,src/analyze/cisco/iosxe/plugins/iosxe_checks_plugin.py,Cisco IOS-XE,yes,yes,no,"2; selected rules 3 / citation gap","Active-reference MACsec/IKE/IPsec analysis; references are not serialized"
plugin,PluginASAChecks,src/analyze/cisco/asa/plugins/asa_checks_plugin.py,Cisco ASA,yes,yes,no,"2; selected rules 3 / citation gap","Typed management/logging/TLS/ACL/SNMP checks; references are not serialized"
plugin,PluginASABaseline,src/analyze/cisco/asa/plugins/baseline_plugin.py,Cisco ASA,yes,yes,yes,"2; selected rules 3","Version-gated target baseline"
plugin,PluginFortiOSChecks,src/analyze/fortinet/plugins/fortios_checks_plugin.py,FortiGate/FortiOS,yes,yes,no,"2; selected rules 3 / citation gap","Scope-aware interface/policy/TLS/logging checks; references are not serialized"
plugin,PluginFortiOSBaseline,src/analyze/fortinet/plugins/fortios_baseline_plugin.py,FortiGate/FortiOS,yes,yes,yes,"2; selected rules 3","Global/VDOM-aware target baseline with version-aware defaults"
plugin,PluginJunOSChecks,src/analyze/juniper/junos/plugins/junos_checks_plugin.py,Juniper Junos,yes,yes,no,"2; selected rules 3 / citation gap","Effective services/attached-filter/root-login checks; references are not serialized"
plugin,PluginJunOSBaseline,src/analyze/juniper/junos/plugins/baseline_plugin.py,Juniper Junos,yes,yes,yes,"2; selected rules 3","Target system/control-plane baseline"
plugin,PluginScreenOSChecks,src/analyze/juniper/plugins/screenos_checks_plugin.py,Juniper ScreenOS,yes,yes,no,"2; selected rules 3 / citation gap","Effective management and ordered-policy checks; references are not serialized"
plugin,PluginScreenOSBaseline,src/analyze/juniper/plugins/screenos_baseline_plugin.py,Juniper ScreenOS,yes,yes,yes,"2; selected rules 3","Target legacy-platform baseline including unavoidable EOL posture"
plugin,PluginCheckPointChecks,src/analyze/checkpoint/plugins/fw1_checks_plugin.py,Check Point Firewall-1,yes,yes,yes,3,"Rule-bound broad-accept analysis with layer context"
plugin,PluginCheckPointBaseline,src/analyze/checkpoint/plugins/fw1_baseline_plugin.py,Check Point Firewall-1,yes,yes,yes,"2; selected rules 3","Typed ordered-policy/object cross-reference baseline"
plugin,PluginPANOSChecks,src/analyze/paloalto/plugins/panos_checks_plugin.py,Palo Alto PAN-OS,yes,yes,no,0-1,"Known parser/scope/default gaps remain in T-010/T-019/T-030"
plugin,PluginHPChecks,src/analyze/hp/plugins/hp_checks_plugin.py,HP ProCurve/ArubaOS-Switch,yes,yes,no,0-1,"Known default/scope/coverage gaps remain in T-011/T-022/T-032"
plugin,PluginSonicOSChecks,src/analyze/sonicwall/plugins/sonicos_checks_plugin.py,SonicWall SonicOS,yes,yes,no,0-1,"Format identity and effective-state gaps remain in T-007/T-024/T-032"
plugin,PluginAristaChecks,src/analyze/arista/plugins/arista_checks_plugin.py,Arista EOS,yes,yes,no,0-1,"Known eAPI/IOS-inheritance gaps remain in T-027/T-032"
