vendor,device_type,os_dialect,source_path_in_original,approximate_check_categories
Cisco,Switch,IOS,reference\nipper-ng-original\0.11.10\IOS,"Auth, Logging, ACL, SNMP, Services"
Cisco,Router,IOS,reference\nipper-ng-original\0.11.10\IOS,"Auth, Logging, ACL, SNMP, Services"
Cisco,Catalyst,IOS/CatOS/NMP,reference\nipper-ng-original\0.11.10\IOS,"Auth, Logging, ACL, SNMP, Services"
Cisco,Firewall,PIX/ASA/FWSM,reference\nipper-ng-original\0.11.10\PIX,"Auth, ACL, Logging, VPN"
Cisco,CSS,CSS,reference\nipper-ng-original\0.11.10\CSS,"Auth, ACL, SNMP"
Juniper,Firewall,ScreenOS,reference\nipper-ng-original\0.11.10\ScreenOS,"Auth, ACL, Logging, VPN"
CheckPoint,Firewall,FW1,reference\nipper-ng-original\0.11.10\FW1,"Objects, Policy, Rules"
Nortel,Passport,Passport,reference\nipper-ng-original\0.11.10\Passport,"Auth, ACL, SNMP"
SonicWALL,Firewall,SonicOS,reference\nipper-ng-original\0.11.10\SonicOS,"Auth, ACL, Logging"
3Com,Firewall,SuperStack3,reference\nipper-ng-original\libnipper-0.12.6\3Com-SuperStack3-Firewall,"Auth, ACL"
Bay Networks,Router,Accelar,reference\nipper-ng-original\libnipper-0.12.6\BayNetworks-Accelar,"Auth, ACL"
HP,Switch,ProCurve,reference\nipper-ng-original\libnipper-0.12.6\HP-ProCurve,"Auth, SNMP, Logging"
Nokia,Firewall,IPSO,reference\nipper-ng-original\libnipper-0.12.6\Nokia-IP,"Auth, ACL"
Nortel,Switch,RoutingSwitch,reference\nipper-ng-original\libnipper-0.12.6\Nortel-RoutingSwitch,"Auth, ACL"
